Access 60: ['0', '0', '2', '5', '11']
Access 61: ['0', '0', '1', '4', '10']
Access 62: ['0', '1', '4', '9', '20']
Access 63: ['0', '0', '2', '6', '14']
Access 64: ['0', '1', '4', '9', '19']
Access 65: ['0', '1', '3', '8', '17']
Access 66: ['0', '0', '1', '4', '10']
Access 67: ['0', '1', '4', '9', '19']
Access 68: ['0', '1', '3', '8', '18']
Access 69: ['0', '2', '5', '11', '23']
Access 70: ['0', '1', '4', '9', '19']
Access 71: ['0', '2', '5', '11', '23']
Access 72: ['0', '1', '3', '8', '18']
Access 73: ['0', '1', '3', '7', '16']
Access 74: ['0', '1', '3', '8', '18']
Access 75: ['0', '1', '3', '8', '18']
Access 76: ['0', '2', '5', '11', '23']
Access 77: ['0', '0', '2', '5', '11']
Access 78: ['0', '0', '2', '5', '11']
Access 79: ['0', '0', '2', '6', '13']
Access 80: ['0', '1', '4', '9', '20']
Access 81: ['0', '1', '3', '7', '15']
Access 82: ['0', '0', '1', '4', '9']
Access 83: ['0', '1', '3', '7', '15']
Access 84: ['0', '1', '4', '10', '22']
Access 85: ['0', '0', '2', '6', '13']
Access 86: ['0', '0', '2', '5', '12']
Access 87: ['0', '1', '4', '10', '21']
Access 88: ['0', '0', '2', '5', '12']
Access 89: ['0', '0', '1', '4', '9']
Access 90: ['0', '1', '4', '9', '19']
Access 91: ['0', '0', '2', '6', '14']
Access 92: ['0', '0', '2', '5', '12']
Access 93: ['0', '1', '4', '9', '20']
Access 94: ['0', '1', '4', '9', '19']
Access 95: ['0', '0', '2', '5', '11']
Access 96: ['0', '0', '2', '5', '11']
Access 97: ['0', '1', '3', '7', '15']
Access 98: ['0', '1', '4', '10', '22']
Access 99: ['0', '1', '3', '8', '17']
Access 100: ['0', '2', '5', '11', '24']


*******************************************

Access 1: ['0', '0', '1', '4', '9']
Access 2: ['0', '1', '4', '10', '22']
Access 3: ['0', '1', '3', '8', '17']
Access 4: ['0', '1', '3', '8', '18']
Access 5: ['0', '0', '1', '4', '10']
Access 6: ['0', '0', '1', '4', '10']
Access 7: ['0', '1', '4', '9', '19']
Access 8: ['0', '1', '4', '9', '20']
Access 9: ['0', '0', '2', '6', '14']
Access 10: ['0', '1', '4', '9', '20']
Access 11: ['0', '1', '3', '7', '15']
Access 12: ['0', '2', '5', '11', '23']
Access 13: ['0', '0', '2', '6', '13']
Access 14: ['0', '1', '3', '7', '16']
Access 15: ['0', '0', '2', '5', '12']
Access 16: ['0', '1', '4', '10', '22']
Access 17: ['0', '2', '5', '11', '24']
Access 18: ['0', '1', '3', '8', '17']
Access 19: ['0', '0', '2', '6', '13']
Access 20: ['0', '1', '4', '9', '19']
Access 21: ['0', '1', '3', '7', '16']
Access 22: ['0', '1', '4', '9', '20']
Access 23: ['0', '2', '5', '11', '24']
Access 24: ['0', '2', '5', '11', '24']
Access 25: ['0', '0', '1', '4', '9']
Access 26: ['0', '0', '2', '5', '11']
Access 27: ['0', '0', '2', '5', '11']
